tx_period_max,cl_period_max,periodicity,duty_cycle,rf_label
10.0,118.0,1.0,0.078125,BL_Beacon
59.0,20.0,1.620253164556962,0.671875,Microwave_Oven
5.0,11.0,8.0,0.375,BL_Stream
122.0,5.0,1.0078740157480315,0.9609375,Microwave_Oven
6.0,10.0,8.0,0.375,BL_Stream
4.0,13.0,7.529411764705882,0.2265625,BL_Stream
17.0,90.0,1.1962616822429906,0.1328125,BL_Beacon
4.0,8.0,10.666666666666666,0.453125,BL_Stream
3.0,125.0,1.0,0.0234375,BL_Beacon
7.0,8.0,8.533333333333333,0.40625,BL_Stream
102.0,1.0,1.2427184466019416,0.9921875,WiFi_Stream
9.0,74.0,1.5421686746987953,0.125,BL_Beacon
5.0,7.0,10.666666666666666,0.390625,BL_Stream
3.0,10.0,9.846153846153847,0.28125,BL_Stream
23.0,75.0,1.3061224489795917,0.2265625,Microwave_Oven
2.0,30.0,4.0,0.109375,WiFi_Beacon
7.0,7.0,9.142857142857142,0.4296875,BL_Stream
3.0,10.0,9.846153846153847,0.2421875,BL_Stream
4.0,13.0,7.529411764705882,0.3203125,BL_Stream
61.0,43.0,1.2307692307692308,0.5859375,Microwave_Oven
10.0,106.0,1.103448275862069,0.078125,BL_Beacon
54.0,12.0,1.9393939393939394,0.703125,Microwave_Oven
4.0,18.0,5.818181818181818,0.21875,BL_Stream
1.0,65.0,1.9393939393939394,0.0078125,BL_Beacon
87.0,8.0,1.3473684210526315,0.8125,Microwave_Oven
7.0,10.0,7.529411764705882,0.3984375,BL_Stream
5.0,6.0,11.636363636363637,0.46875,BL_Stream
4.0,7.0,11.636363636363637,0.359375,BL_Stream
117.0,1.0,1.0847457627118644,0.9921875,WiFi_Stream
18.0,79.0,1.3195876288659794,0.140625,BL_Beacon
15.0,69.0,1.5238095238095237,0.1171875,BL_Beacon
4.0,10.0,9.142857142857142,0.296875,BL_Stream
90.0,1.0,1.4065934065934067,0.9765625,WiFi_Stream
9.0,7.0,8.0,0.4453125,BL_Stream
97.0,1.0,1.3061224489795917,0.9921875,WiFi_Stream
84.0,1.0,1.5058823529411764,0.984375,WiFi_Stream
49.0,1.0,2.56,0.9765625,WiFi_Stream
5.0,7.0,10.666666666666666,0.3671875,BL_Stream
3.0,14.0,7.529411764705882,0.2421875,BL_Stream
115.0,1.0,1.103448275862069,0.984375,WiFi_Stream
4.0,14.0,7.111111111111111,0.21875,BL_Stream
45.0,83.0,1.0,0.3515625,Microwave_Oven
2.0,111.0,1.1327433628318584,0.015625,BL_Beacon
92.0,20.0,1.1428571428571428,0.8046875,Microwave_Oven
100.0,1.0,1.2673267326732673,0.9765625,WiFi_Stream
3.0,74.0,1.6623376623376624,0.03125,BL_Beacon
103.0,25.0,1.0,0.8046875,Microwave_Oven
96.0,1.0,1.3195876288659794,0.9921875,WiFi_Stream
27.0,85.0,1.1428571428571428,0.21875,Microwave_Oven
74.0,1.0,1.7066666666666668,0.9921875,WiFi_Stream
92.0,1.0,1.3763440860215055,0.984375,WiFi_Stream
4.0,10.0,9.142857142857142,0.3203125,BL_Stream
116.0,1.0,1.0940170940170941,0.984375,WiFi_Stream
3.0,17.0,6.4,0.2890625,BL_Stream
71.0,5.0,1.6842105263157894,0.84375,Microwave_Oven
10.0,92.0,1.2549019607843137,0.109375,BL_Beacon
44.0,84.0,1.0,0.34375,Microwave_Oven
3.0,98.0,1.2673267326732673,0.0234375,BL_Beacon
120.0,8.0,1.0,0.9375,Microwave_Oven
28.0,42.0,1.8285714285714285,0.4453125,Microwave_Oven
4.0,5.0,14.222222222222221,0.40625,BL_Stream
5.0,7.0,10.666666666666666,0.3984375,BL_Stream
124.0,4.0,1.0,0.96875,Microwave_Oven
16.0,109.0,1.024,0.125,BL_Beacon
7.0,6.0,9.846153846153847,0.4140625,BL_Stream
9.0,6.0,8.533333333333333,0.5,BL_Stream
3.0,13.0,8.0,0.21875,BL_Stream
2.0,21.0,5.565217391304348,0.125,WiFi_Beacon
3.0,11.0,9.142857142857142,0.234375,BL_Stream
3.0,12.0,8.533333333333333,0.265625,BL_Stream
42.0,86.0,1.0,0.328125,Microwave_Oven
4.0,7.0,11.636363636363637,0.40625,BL_Stream
1.0,117.0,1.0847457627118644,0.0078125,BL_Beacon
52.0,23.0,1.7066666666666668,0.6796875,Microwave_Oven
75.0,1.0,1.6842105263157894,0.9921875,WiFi_Stream
109.0,19.0,1.0,0.8515625,Microwave_Oven
51.0,10.0,2.098360655737705,0.7109375,Microwave_Oven
78.0,1.0,1.620253164556962,0.984375,WiFi_Stream
3.0,14.0,7.529411764705882,0.1953125,BL_Stream
5.0,10.0,8.533333333333333,0.375,BL_Stream
89.0,39.0,1.0,0.6953125,Microwave_Oven
101.0,1.0,1.2549019607843137,0.9921875,WiFi_Stream
105.0,1.0,1.2075471698113207,0.9921875,WiFi_Stream
57.0,1.0,2.206896551724138,0.9765625,WiFi_Stream
98.0,30.0,1.0,0.765625,Microwave_Oven
111.0,5.0,1.103448275862069,0.9140625,Microwave_Oven
16.0,107.0,1.0406504065040652,0.1640625,Microwave_Oven
9.0,8.0,7.529411764705882,0.453125,BL_Stream
5.0,10.0,8.533333333333333,0.2734375,BL_Stream
3.0,11.0,9.142857142857142,0.25,BL_Stream
1.0,68.0,1.855072463768116,0.0078125,BL_Beacon
80.0,48.0,1.0,0.625,Microwave_Oven
3.0,11.0,9.142857142857142,0.3046875,BL_Stream
86.0,20.0,1.2075471698113207,0.8125,Microwave_Oven
2.0,30.0,4.0,0.0859375,WiFi_Beacon
6.0,13.0,6.7368421052631575,0.3203125,BL_Stream
26.0,88.0,1.1228070175438596,0.28125,Microwave_Oven
6.0,11.0,7.529411764705882,0.3203125,BL_Stream
15.0,91.0,1.2075471698113207,0.1171875,BL_Beacon
63.0,52.0,1.1130434782608696,0.5625,Microwave_Oven
12.0,84.0,1.3333333333333333,0.109375,BL_Beacon
4.0,13.0,7.529411764705882,0.3125,BL_Stream
1.0,113.0,1.1228070175438596,0.0078125,BL_Beacon
100.0,26.0,1.0158730158730158,0.7890625,Microwave_Oven
2.0,12.0,9.142857142857142,0.109375,WiFi_Beacon
12.0,56.0,1.8823529411764706,0.1171875,BL_Beacon
5.0,11.0,8.0,0.4375,BL_Stream
9.0,6.0,8.533333333333333,0.4921875,BL_Stream
